origin_id,destination_id,current_time,wait_time_minutes,next_departure
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,14:00:00,25.0,14:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,14:15:00,10.0,14:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,14:30:00,1195.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,14:45:00,1180.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,15:00:00,1165.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,15:15:00,1150.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,15:30:00,1135.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,15:45:00,1120.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,16:00:00,1105.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,16:15:00,1090.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,16:30:00,1075.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,16:45:00,1060.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,17:00:00,1045.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,17:15:00,1030.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,17:30:00,1015.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,17:45:00,1000.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,18:00:00,985.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,18:15:00,970.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,18:30:00,955.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,18:45:00,940.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,19:00:00,925.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,19:15:00,910.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,19:30:00,895.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,19:45:00,880.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,20:00:00,865.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,20:15:00,850.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,20:30:00,835.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,20:45:00,820.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,21:00:00,805.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,21:15:00,790.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,21:30:00,775.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,21:45:00,760.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,22:00:00,745.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,22:15:00,730.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,22:30:00,715.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,22:45:00,700.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,23:00:00,685.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,23:15:00,670.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,23:30:00,655.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,23:45:00,640.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,00:00:00,625.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,00:15:00,610.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,00:30:00,595.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,00:45:00,580.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,01:00:00,565.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,01:15:00,550.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,01:30:00,535.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,01:45:00,520.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,02:00:00,505.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,02:15:00,490.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,02:30:00,475.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,02:45:00,460.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,03:00:00,445.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,03:15:00,430.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,03:30:00,415.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,03:45:00,400.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,04:00:00,385.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,04:15:00,370.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,04:30:00,355.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,04:45:00,340.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,05:00:00,325.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,05:15:00,310.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,05:30:00,295.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,05:45:00,280.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,06:00:00,265.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,06:15:00,250.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,06:30:00,235.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,06:45:00,220.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,07:00:00,205.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,07:15:00,190.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,07:30:00,175.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,07:45:00,160.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,08:00:00,145.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,08:15:00,130.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,08:30:00,115.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,08:45:00,100.0,10:25:00
